sample,sample_code,year,state,field,city,lat,lon,cultivar,crop_system,previous_crop,substrate,FCSC,FFSC,FGSC,FIESC,n_isolates,Complex,n_complex,MON,DON,AcDON,DON_total,HT-2,T-2,NEO,ZEA,ENN B,ENN B1,ENN A1,ENN A,BEA,FUM B1,FUM B2
KR36,15MT001,2015,MT (11),1,Sinop,-11.84806,-55.649167,BRS Pepita,High lands,Brachiaria ruziziensis,kernel,0,0,0,1,1,FIESC,1,0.001,7.8,75.3,83.1,NA,NA,2.9,41.7,NA,NA,NA,NA,139.7,NA,0.001
KR93,16SC010,2016,SC (9),10,Jacinto Machado,-28.95016,-49.764175,SCS 112,Irrigated,rice,kernel,0,2,6,0,8,FFSC+FGSC,2,NA,0.001,18.2,18.201,2.4,0.5,NA,37.2,NA,NA,NA,NA,2.3,NA,NA
KR62,15RS024,2015,RS (28),24,São Gabriel,-30.33583,-54.32,NA,Irrigated,rice,kernel,0,0,0,0,0,None,0,NA,148.9,93.2,242.1,6.6,NA,0.5,35.9,NA,0.5,0.001,NA,28.5,NA,NA
KR24,15GO037,2015,GO (29),37,Brazabrantes,-16.42875,-49.385889,Puitá Inta CL,Irrigated,rice,kernel,1,0,0,2,3,FCSC+FIESC,2,NA,NA,162.5,162.5,5.3,NA,1.4,32,NA,NA,NA,NA,44.6,NA,NA
KR38,15MT003,2015,MT (11),3,Sinop,-11.84806,-55.649167,AN Cambará,High lands,Brachiaria ruziziensis,kernel,0,4,0,1,5,FFSC+FIESC,2,0.001,NA,44.7,44.7,0.7,NA,1.05,28.1,NA,NA,NA,NA,148.6,NA,0.001
KR97,16SP004,2016,SP (5),4,Roseira,-22.900797 ,-45.308995,Epagri 117,Irrigated,rice,kernel,1,0,0,0,1,FCSC,1,NA,NA,38.2,38.2,1.2,NA,0.001,24.8,NA,NA,NA,NA,26.1,NA,NA
KR14,15GO023,2015,GO (29),23,Brazabrantes,-16.42875,-49.385889,SCS 115 CL,Irrigated,rice,kernel,1,0,0,4,5,FCSC+FIESC,2,NA,0.001,63.3,63.301,1.9,NA,0.001,22.8,NA,NA,NA,NA,20.2,NA,NA
KR94,16SP001,2016,SP (5),1,Roseira,-22.900797 ,-45.308995,Ricetec,Irrigated,rice,kernel,0,0,0,0,0,None,0,NA,0.001,10.3,10.301,0.9,NA,0.001,21.4,NA,NA,NA,NA,15.8,NA,NA
KR84,16SC001,2016,SC (9),1,Itajaí,-26.95207,-48.761912,Epagri 105,Irrigated,rice,kernel,2,8,15,4,29,FCSC+FFSC+FGSC+FIESC,4,NA,NA,27.9,27.9,0.6,0.5,0.5,20.7,NA,NA,NA,NA,9.7,NA,NA
KR104,16TO006,2016,TO (7),6,Lagoa da Confusão,-10.89531,-48.370667,IRGA 424 RI,Irrigated,NA,kernel,0,0,0,1,1,FIESC,1,NA,0.001,10.6,10.601,NA,NA,0.5,16.2,NA,NA,NA,NA,13.5,NA,0.001
